technique_id,name,tactic
T1008,Fallback Channels,command-and-control
T1680,Local Storage Discovery,discovery
T1564.004,NTFS File Attributes,stealth
T1558.003,Kerberoasting,credential-access
T1003.006,DCSync,credential-access
T1124,System Time Discovery,discovery
T1053.002,At,"execution, persistence, privilege-escalation"
T1055.001,Dynamic-link Library Injection,"stealth, privilege-escalation"
T1588.005,Exploits,resource-development
T1556,Modify Authentication Process,"defense-impairment, persistence, credential-access"
T1546.017,Udev Rules,"persistence, privilege-escalation"
T1056.004,Credential API Hooking,"collection, credential-access"
T1495,Firmware Corruption,impact
T1490,Inhibit System Recovery,impact
T1546.007,Netsh Helper DLL,"privilege-escalation, persistence"
T1566.003,Spearphishing via Service,initial-access
T1090.001,Internal Proxy,command-and-control
T1216,System Script Proxy Execution,stealth
T1102.001,Dead Drop Resolver,command-and-control
T1001.001,Junk Data,command-and-control
T1598.001,Spearphishing Service,reconnaissance
T1505.006,vSphere Installation Bundles,persistence
T1552.007,Container API,credential-access
T1584.001,Domains,resource-development
T1505.001,SQL Stored Procedures,persistence
T1556.004,Network Device Authentication,"defense-impairment, persistence, credential-access"
T1561.001,Disk Content Wipe,impact
T1213.005,Messaging Applications,collection
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration
T1027.015,Compression,stealth
T1574.004,Dylib Hijacking,"stealth, execution"
T1601.002,Downgrade System Image,defense-impairment
T1684.002,Email Spoofing,stealth
T1078.003,Local Accounts,"stealth, persistence, privilege-escalation, initial-access"
T1669,Wi-Fi Networks,initial-access
T1211,Exploitation for Stealth,stealth
T1127,Trusted Developer Utilities Proxy Execution,"stealth, execution"
T1529,System Shutdown/Reboot,impact
T1218.014,MMC,stealth
T1564.010,Process Argument Spoofing,stealth
T1574.012,COR_PROFILER,"stealth, execution"
